,TPA Jatibarang,99 KOMPUTER NGALIYAN (Servis laptop dan jual beli),abdie service elektronic,Adzan Elektronik,"AHA CELL (service, hardware & software)",AK teknik - service elektronik & AC,Alfacell Service Hp,ALL REPAIR HP SEMARANG BARAT,ANDI CELL SERVIS HP SEMARANG BARAT KARANGAYU,Andphone servis android dan iphone,Androfix Service HP Hardware Software Semarang,"Aren Jaya AC Gunung Pati - Service AC,Kulkas,Mesin Cuci Panggilan Semarang Ungaran",Arjuna service,Aset Comp (Servis Laptop Semarang),Atlanta Electronics Ngesrep,Awan TV | Spesialis TV LED Jawa Tengah,Baari Electronics Service,BARATA TEKNIK,Basscom laptop Service,Bintang Elektronik Service,Cahaya Perkasa Computer,CAHAYA SERVICE,Carlcare Service (Infinix-TECNO-itel) Semarang,Clinic Ponsel (Service Hp),Coocaa Service Centre,Cosmos Service Center Semarang,Dewa Komunika - Pusat Service HP,Dicell Service Hp,Dokter phone servis hp,Eagle Service Center/ESC,ELS Computer Semarang (ELS.ID),EPS SERVICE HP,Fikom Service Laptop dan Hp,"FIXIT Indonesia - Service & Jual Beli Laptop, Handphone, PC & Printer Semarang",FURODA CELL Service HP & Laptop | Service HP | Service Laptop | Service Terdekat | Unnes | Patemon | Gunungpati | Semarang,Gadget Center REPAIR,"GARASI TV(spesialist perbaikan tv lcd,led,plasma,oled)",GeniusComp,Gino Service Tv.kulkas,Glory Computer (Pusat Servis Laptop & PC),Golden Service (Service Laptop & HP),GRIYA SERVICE ELECTRONIK,Hartono Elektrik 2,Hartono Servis,Hepilepi Computer,HP SERVICE CENTER SEMARANG - Operated by PT HPS,iPhone Service Solution - Service Iphone Semarang,iRoom Service Apple Repair iPhone iPad iPod iWatch Airpods Macbook Semarang,iRoom Service Pedurungan Semarang,IT Com Service HP,JPC Service Laptop Gunungpati,"Jual beli servis kulkas,frizer,shocese",JULIED PART SPAREPART HP & ACC TERLENGKAP (SERVICE HP),KangService.id (Service LAPTOP & HP Murah Cepat Berkualitas) Legendaris Semarang,Kartika Service HP dan Sparepart HP,KingsJE Management,KLA Computer Ngaliyan,KLA Service Center Semarang,KMGS Komputer ( Service Laptop dan komputer ) Gestun Dan Gadai Laptop HP,KOKO LAPTOP (ZONA SERVICE LAPTOP & PC SEMARANG),Kusuma Computer,M 2 Cellular,Macbook Semarang - Apple Store & Service,MACREPAIR | Service Macbook Semarang,Magic Service Banyumanik - Pusat Reparasi Handphone & Laptop,Mandiri Jaya Teknik,Mediatech Service HP,Merpati Elektronik,Mitra Komunika ( Specialist Service ),mQcell Service HP,NA Computer (Service & jual beli laptop),NADHIRA KOMPUTER(service laptop dan komputer),ND Tech Service Genuk | HP | Android | Laptop | Komputer,ND Tech Service Pedurungan | HP | Android | Laptop | Komputer,Nusantara Komputer Tembalang,Panasonic Gobel Indonesia Service Center Semarang,PCC SOLUTION ( Tempatnya servis laptop & Komputer),PT. Adi Jaya Berguna ( Authorized Service Center LG),Pusat Service iphone,Pusat Service Laptop Tembalang (KM Computer),RAMEECELL SERVICE HP,RASYITHA PHONE,Rifqi Servis Elektronik Murah & Cepat,RS service Android dan iphone,Rumah retrofit Hid Led Sirine Sistem Kelistrikan,Rumahreparasi mzbeck,Saiyo Cell - HP Baru & Second • Service • Aksesoris,Samsung Service Center - Semarang,Service AC (Air Conditioner). Jual beli AC. Bongkar Pasang AC. Perbaikan AC,Service Center Handphone Laptop Printer Semarang,Service Center Sanken,Service Connection Smg,Service Dispenser.kulkas.water hiater,SERVICE ELECTROLUX KOTA SEMARANG,Service Elektronic( Mulia Bima),Service handphone,Service HP,Service HP 7cell,Service Iphone Semarang - SSI,"Service Kulkas, freezer, Ac, Dispenser, Showcase & Mesin Cuci | MFS Electronic service","Service kulkas, showcase, dispenser, freezer,dll semarang SJT) Satria Jaya Tehnik","Service Laptop , Jual Beli Laptop TV LCD LED Elektronik ( TopCompX )",Service Laptop 24 Jam & Recovery Data (VISLAP Cabang Tembalang),Service laptop komputer dan printer,"SERVICE MESIN CUCI, KIPAS joko bleduk",SERVICE MESIN CUCI TEMBALANG,Service Televisi,"SERVICE TV , DOKTER TV ( DTV ELEKTRONIK )",SERVICE TV LED (Boncez part LED),Service Tv Led Semarang Terbaik,Servis & Jual beli laptop UNNES (DIVA NOTEBOOK),Servis AC.kulkas.frezer.shouwkes.mesin cuci.kipas angin.megicom.blender.pompa air.mixzer.water heater gas.kompor. seterika.,SERVIS AC | KULKAS | MESIN CUCI | TV | Berdikari Elektronik Service,Servis Center Resmi Xiaomi - Poco - Infinix - Tecno - Itel,"Servis electronik bukit kencana meteseh tembalang semarang,",Servis Elektronik dan HP,"Servis Elektronik tv led ,m cuci ,kipas , stb ,kipas dan lain lain tembalang semarang",Servis hp Sinshe Phone,"Servis kipas angin ""Epsilon Delta""",Servis kipas angin berkah,Servis Kipas Ngaliyan Pak Slamet,"Servis Komputer, Laptop dan Smartphone Semarang | Dzulfikar Solution",Servis Komputer Gedawang,Servis Laptop Semarang || dokter komputer,"Servis Mesin cuci, TV, kulkas, kompor gas, kipas angin, blender, mixer, magic com, setrika, dispenser dll",Servis Mesin Cuci Murah | Service Kulkas AC dan Elektronik Semarang | Utama Teknik,Servis Mesin Cuci QUANTUM Teknik | Spesialis Servis Mesin Cuci Semarang,Servis TV LED ( Radev ),"Sevice TV LCD LED, ( SR TV Elektronik).",SHARP Service Center,Skycell Service Hp,Spesialis tv led JATENG,Stasiun Computer Tembalang | Jual Beli Laptop Semarang | Programing Desain Gaming,Sukun Elektronik,Sultan servis elektronik,Super Komputer Semarang,TCL Service Center Semarang,Terdekat Cell Service Hp,Toko Zam Zam Elektronik,Tokyo zalfa elektronik,Toshiba TV Service Center,TPA Jatibarang (142),"Umar Service elektronik kulkas, mesin cuci dll",Uni Comp Service Computer,USC Universal Service Center,VIP Computer - Service Laptop and Computer Semarang,WAHYU PHONE SERVICE,Wincom Servis Komputer,"WS Electronic, Jasa service Electronic Dan Jasa pemasangan CCTV",Yess mobile service hp,YS Computer Semarang || Jual Beli Laptop Semarang || Servis laptop dan Komputer Gunungpati Semarang,"Yu_dha Computer ( Service Komputer,printer,laptop)",Zapplerepair
Dicell Service Hp,8.759,7.2,2.665,5.578,12.414,8.989,2.027,5.252,3.472,10.29,1.797,14.246,3.955,6.958,9.735,10.571,13.059,10.866,6.082,13.315,16.069,13.108,2.689,11.432,3.073,5.972,4.837,0.0,3.19,3.675,2.945,3.343,15.042,9.864,11.909,4.985,5.72,8.118,6.812,17.271,11.24,5.015,9.955,5.2,12.831,3.88,2.607,11.876,7.661,5.281,14.699,5.146,18.605,11.288,2.96,2.881,9.708,3.839,10.223,5.437,13.691,23.16,10.188,11.419,11.48,6.723,3.784,12.928,1.983,6.241,11.18,17.401,14.251,10.698,11.5,1.831,11.329,17.831,11.155,12.807,0.688,7.452,5.421,12.277,15.101,18.097,2.824,4.045,3.95,5.57,4.993,2.71,9.553,9.425,10.588,4.581,2.815,2.836,1.631,12.984,14.574,11.073,12.219,10.618,2.32,13.857,3.017,9.787,6.32,2.938,10.444,17.608,13.144,2.027,15.195,2.633,12.614,12.339,7.338,5.691,10.087,15.083,15.733,5.093,8.725,15.377,16.967,12.197,13.457,6.0,5.72,9.159,11.347,11.253,7.77,11.6,5.661,2.996,10.544,13.154,8.476,8.759,9.784,8.403,18.502,12.556,4.772,8.802,10.13,3.476,14.962,8.109,9.988
Dokter phone servis hp,8.068,4.851,4.745,3.188,14.975,9.137,3.705,2.902,0.963,12.447,2.701,14.395,6.517,4.608,11.201,13.133,14.525,13.428,3.733,14.781,13.72,14.574,5.25,11.58,1.087,3.622,2.488,4.056,0.0,5.225,5.103,0.317,12.693,10.012,12.057,7.546,8.281,5.769,8.969,14.922,12.706,5.164,12.516,7.761,14.297,6.442,1.663,13.342,9.818,7.438,14.007,7.708,16.255,12.754,5.521,3.785,7.359,6.4,10.372,2.796,15.849,20.81,11.654,12.885,12.945,9.408,1.435,15.489,3.661,8.803,11.329,15.051,16.408,12.856,12.966,2.736,12.795,15.482,8.806,14.273,2.837,10.137,5.57,14.838,12.751,15.747,1.88,6.606,6.864,7.502,2.352,4.867,11.019,11.987,13.325,1.94,5.376,3.74,4.193,14.45,16.04,8.723,13.685,13.179,1.078,15.323,3.921,11.944,3.97,3.842,10.592,15.259,14.61,3.705,17.88,3.537,14.08,15.075,9.899,7.157,7.738,16.549,17.199,2.943,10.191,16.843,14.617,9.848,14.922,8.158,8.281,11.72,12.813,12.719,9.927,9.251,3.312,5.153,12.701,14.62,11.038,8.068,11.25,9.869,16.152,14.022,2.131,8.951,12.691,2.784,14.27,5.759,12.146
Eagle Service Center/ESC,10.088,6.986,7.188,5.395,16.646,12.362,6.149,5.038,3.407,13.867,2.335,23.153,8.961,6.744,14.427,15.576,17.751,15.871,5.868,18.007,15.855,17.799,7.694,14.806,4.312,5.758,4.623,6.5,3.673,0.0,7.546,3.912,14.828,13.238,15.283,9.99,10.725,7.904,11.989,17.057,15.931,8.389,14.96,10.205,17.523,8.885,2.174,16.567,12.262,9.882,16.027,10.151,18.39,15.979,7.965,6.229,9.494,8.844,13.597,5.472,16.368,22.945,14.88,16.11,16.171,11.728,3.57,17.933,6.105,11.246,14.554,17.186,16.928,15.3,16.192,5.179,16.02,17.617,10.941,17.499,7.187,12.457,8.795,17.52,14.887,17.883,1.957,9.05,5.007,10.575,5.028,7.311,14.244,14.431,15.593,4.616,7.82,6.184,6.636,17.676,19.265,10.858,16.911,15.623,4.303,18.549,6.365,14.388,6.106,6.286,13.818,17.394,17.836,6.149,20.2,1.148,17.305,17.344,12.343,10.382,9.873,19.775,20.424,4.91,13.417,20.069,16.753,11.983,18.148,10.601,10.725,14.164,16.039,15.944,12.371,11.386,5.447,7.597,13.221,17.846,13.481,10.088,14.476,13.094,18.287,17.248,4.806,12.176,15.135,5.459,16.29,7.894,12.665
ELS Computer Semarang (ELS.ID),11.478,8.407,3.319,6.786,10.945,9.856,3.234,6.459,4.679,11.61,3.005,23.213,2.093,8.165,9.527,9.102,12.851,9.397,7.29,13.107,17.277,12.9,0.827,12.299,3.839,7.179,6.045,1.813,4.397,4.882,0.0,4.045,16.25,10.732,12.776,3.123,3.857,9.326,6.034,18.479,11.032,5.883,8.486,3.731,12.623,2.018,3.814,11.668,5.856,3.406,17.418,3.284,19.812,11.08,1.491,4.088,10.916,1.977,11.091,6.863,13.378,24.367,9.98,11.211,11.272,5.254,4.992,11.458,3.19,4.772,12.048,18.608,13.938,8.894,11.292,3.039,11.121,19.039,12.363,12.599,2.501,5.982,5.947,10.808,16.308,19.304,4.031,2.576,4.603,4.101,6.418,3.363,9.345,7.956,9.119,6.007,1.346,4.043,0.74,12.776,14.366,12.28,12.011,9.149,4.596,13.649,4.224,7.982,7.527,4.146,11.311,18.816,12.936,3.235,13.726,3.84,12.406,10.87,5.869,4.549,11.294,14.875,15.525,6.3,7.931,15.169,18.174,13.405,13.248,2.434,3.857,7.69,11.139,11.045,6.024,12.808,6.868,3.649,10.231,12.946,7.007,11.478,9.576,6.814,19.709,12.348,6.197,9.67,8.661,5.062,17.681,9.316,9.675
EPS SERVICE HP,8.379,5.162,5.656,3.499,14.866,8.773,4.002,3.214,1.26,13.281,2.999,14.031,6.947,4.92,10.838,13.023,14.162,13.318,4.044,14.418,14.031,14.21,5.68,11.216,0.723,3.933,2.799,4.15,0.317,5.537,5.936,0.0,13.004,9.649,11.694,7.976,8.711,6.08,9.803,15.233,12.342,4.8,12.407,7.652,13.934,6.871,1.96,12.978,10.652,8.272,14.318,8.137,16.567,12.39,5.412,4.083,7.67,6.83,10.008,3.108,18.537,21.121,11.291,12.521,12.582,9.045,1.746,15.379,1.851,8.693,10.965,15.362,19.096,13.689,12.603,3.033,12.431,15.793,9.117,13.91,2.474,9.773,5.206,14.729,13.063,16.059,2.177,6.497,7.175,7.138,2.663,5.701,10.655,11.877,12.961,2.252,5.267,4.037,4.622,14.087,15.676,9.034,13.322,13.07,0.714,14.96,4.219,12.778,4.282,4.14,10.229,15.57,14.247,4.003,17.517,3.834,13.716,14.712,9.79,6.793,8.049,16.186,16.835,3.254,9.828,16.48,14.929,10.159,14.559,8.991,8.711,11.611,12.45,12.355,10.761,9.562,3.623,5.987,15.389,14.257,10.928,8.379,10.886,9.505,16.463,13.659,2.442,8.587,12.582,3.095,14.582,6.071,14.834
Fikom Service Laptop dan Hp,14.719,10.06,15.531,13.738,25.762,20.705,14.492,11.161,11.75,23.234,13.488,31.495,17.303,9.818,20.599,23.919,23.923,24.214,8.942,24.179,18.929,23.972,16.037,23.148,12.655,10.177,10.747,14.843,12.016,15.508,15.889,12.255,0.0,21.581,23.626,18.333,19.068,10.978,19.756,20.131,22.104,16.732,23.303,18.548,23.695,17.228,12.449,22.74,20.605,18.225,24.37,18.494,21.464,22.151,16.308,14.572,12.568,17.187,21.94,13.815,28.508,26.019,21.052,22.283,22.343,20.071,11.674,26.276,14.448,19.589,22.897,20.26,29.067,23.642,22.364,13.522,22.193,20.691,6.244,23.671,15.53,20.8,17.138,25.625,17.96,20.957,12.666,17.393,17.147,18.918,13.371,15.654,20.417,22.773,23.936,12.959,16.163,14.527,14.979,23.848,25.438,13.932,23.083,23.966,12.646,24.721,14.708,22.731,10.525,14.629,22.161,7.251,24.008,14.492,28.543,14.324,23.478,25.687,20.686,18.725,12.947,25.947,26.597,13.253,19.589,26.241,19.826,7.286,24.32,18.944,19.068,22.507,22.211,22.117,20.714,6.689,11.57,15.94,25.361,23.643,21.824,14.719,20.648,21.437,21.361,23.42,13.149,20.519,23.478,13.802,24.633,10.968,24.805
"FIXIT Indonesia - Service & Jual Beli Laptop, Handphone, PC & Printer Semarang",10.43,14.228,11.242,12.565,20.451,1.184,11.157,12.28,10.845,18.866,10.927,4.382,12.532,13.986,11.019,18.608,14.343,18.104,13.111,14.599,18.622,14.392,11.265,1.568,9.81,13.0,11.866,9.736,10.426,14.603,11.521,10.079,22.07,0.0,2.045,13.561,14.296,15.146,15.388,15.78,12.523,5.784,17.992,12.239,14.115,12.457,11.544,13.159,16.237,13.857,6.853,13.723,14.447,12.571,10.997,12.011,16.736,12.415,0.359,12.174,22.267,11.346,11.472,12.703,12.763,12.897,10.812,20.965,9.35,14.279,1.316,18.084,22.827,19.275,12.784,10.961,12.613,16.223,18.183,14.091,8.661,13.626,7.136,20.314,12.578,15.849,11.761,12.082,12.526,10.991,11.73,11.286,10.836,16.014,16.814,11.318,10.852,11.966,10.208,14.28,15.34,18.101,13.503,18.655,9.057,15.141,12.147,18.363,13.348,12.068,0.58,24.637,14.44,11.157,17.822,11.763,13.898,18.565,15.375,10.646,17.115,15.85,14.328,12.32,10.009,14.295,17.157,19.226,14.74,14.576,14.296,17.196,12.631,12.537,16.346,18.628,12.689,11.572,19.12,14.438,16.514,10.43,11.068,11.043,14.55,13.84,11.508,1.062,17.314,9.523,6.869,15.137,18.564
FURODA CELL Service HP & Laptop | Service HP | Service Laptop | Service Terdekat | Unnes | Patemon | Gunungpati | Semarang,17.858,16.273,13.286,14.61,22.496,3.228,13.202,14.325,12.889,20.911,12.972,2.532,14.576,16.031,16.608,20.653,19.932,20.149,15.155,14.309,17.346,14.102,13.31,0.477,11.854,15.044,13.91,11.78,12.47,16.648,13.566,12.124,24.115,2.045,0.0,15.605,16.341,17.191,17.433,14.504,18.112,7.829,20.037,14.284,15.368,14.501,13.589,16.59,18.282,15.902,5.576,15.767,13.17,18.16,13.042,14.056,18.781,14.46,2.302,14.219,24.312,10.07,17.061,17.07,15.24,14.942,12.857,23.009,11.395,16.323,0.728,16.808,24.871,21.319,18.373,13.006,18.201,14.946,20.228,18.508,10.706,15.671,9.181,22.359,21.433,14.573,13.806,14.127,14.571,13.036,13.774,13.331,16.168,18.059,18.859,13.363,12.897,14.011,12.252,12.429,13.489,21.528,19.092,20.7,11.101,17.618,14.192,20.408,15.393,14.113,1.465,22.627,12.589,13.202,23.411,13.808,19.487,20.609,17.42,12.691,19.16,13.999,12.478,14.365,12.054,12.444,15.881,21.27,14.451,16.621,16.341,19.241,18.22,14.251,18.39,20.673,14.734,13.617,21.165,16.483,18.558,17.858,16.657,13.088,13.273,16.317,13.553,3.106,19.359,11.568,5.593,17.181,20.609
Gadget Center REPAIR,14.074,11.003,4.038,9.382,8.474,12.452,5.83,9.055,7.275,9.139,5.601,23.223,1.641,10.761,9.537,6.631,12.861,7.556,9.886,13.117,19.873,12.91,2.409,14.895,6.434,9.775,8.641,4.409,6.994,7.478,3.493,6.641,18.845,13.328,15.372,0.0,0.735,11.922,2.912,21.075,11.042,8.479,6.644,3.155,12.633,1.566,6.41,11.678,2.733,2.954,20.014,0.298,22.408,11.09,2.83,6.684,13.512,1.525,13.687,9.459,9.174,26.963,9.99,11.221,11.282,4.678,7.588,9.617,5.786,1.292,14.644,21.204,13.486,5.771,11.302,5.635,11.131,21.635,14.959,12.609,5.096,5.407,7.961,8.337,18.904,21.9,6.627,2.463,7.199,3.526,9.014,5.959,9.355,6.115,7.277,8.603,3.973,6.639,3.336,12.786,14.376,14.876,12.021,7.307,7.192,13.659,6.821,4.86,10.123,6.742,13.907,21.412,12.946,5.83,13.151,6.436,12.416,9.028,4.027,3.974,13.89,14.886,15.535,8.896,7.356,15.18,20.77,16.001,13.259,1.556,0.735,5.848,11.149,11.055,2.902,15.404,9.464,6.245,9.779,12.957,5.166,14.074,9.586,6.238,22.305,12.359,8.793,12.266,6.819,7.658,20.277,11.912,9.223
"GARASI TV(spesialist perbaikan tv lcd,led,plasma,oled)",14.802,11.731,4.766,10.11,6.543,13.18,6.558,9.783,8.003,7.209,6.328,23.951,2.369,11.489,10.265,4.701,13.589,6.821,10.614,13.845,20.601,13.638,3.137,15.623,7.162,10.503,9.369,5.137,7.721,11.168,4.221,7.369,19.573,14.055,16.1,0.728,0.0,12.65,2.597,21.802,11.77,9.207,5.909,3.883,13.361,2.294,7.138,12.406,2.418,3.918,20.742,0.733,23.136,11.818,3.558,7.412,14.239,2.253,14.415,10.186,7.244,27.691,10.718,11.949,12.01,3.455,8.316,8.882,6.514,0.556,15.372,21.932,13.805,3.841,12.03,6.363,11.859,22.363,15.686,13.337,5.824,3.408,8.689,6.407,19.632,22.628,7.355,3.149,7.777,4.254,9.742,6.687,10.083,5.38,6.542,9.331,4.659,7.367,4.063,13.514,15.104,15.604,12.749,6.572,7.92,14.387,7.548,2.929,10.851,7.47,14.635,22.14,13.674,6.558,11.151,7.164,13.144,8.293,3.292,4.702,14.618,15.613,16.263,9.624,8.084,15.908,21.498,16.729,13.986,2.283,0.0,5.113,11.877,11.783,2.587,16.131,10.192,6.973,10.098,13.684,4.431,14.802,10.314,6.966,23.033,13.086,9.521,12.994,6.084,8.386,21.005,12.64,9.542
GeniusComp,4.166,1.137,9.268,7.475,19.498,14.442,8.228,4.898,5.486,16.971,7.225,26.672,11.04,1.782,14.336,17.656,17.66,17.951,2.121,17.916,9.697,17.709,9.774,16.885,6.392,1.988,4.483,8.579,5.753,9.245,9.626,5.992,11.538,15.318,17.362,12.069,12.804,0.0,13.493,10.899,15.84,10.469,17.04,12.284,17.432,10.965,6.186,16.476,14.341,11.962,18.107,12.231,12.232,15.888,10.045,8.309,3.336,10.924,15.677,7.551,22.245,16.787,14.789,16.02,16.08,13.807,5.411,20.012,8.184,13.326,16.634,11.028,22.804,17.379,16.101,7.259,15.929,11.459,7.651,17.408,9.267,14.536,10.875,19.362,8.729,11.725,6.403,11.13,10.883,12.655,7.107,9.391,14.153,16.51,17.673,6.696,9.899,8.263,8.716,17.585,19.174,4.7,16.82,17.703,6.383,18.458,8.445,16.468,2.806,8.366,15.898,14.105,17.745,8.229,22.28,8.06,17.215,19.423,14.423,12.462,3.715,19.684,20.334,6.989,13.326,19.978,10.595,5.002,18.057,12.681,12.804,16.244,15.948,15.854,14.45,4.45,5.307,9.677,19.097,17.38,15.561,4.166,14.385,15.174,12.129,17.157,6.886,14.256,17.215,7.539,20.867,0.527,18.542
Gino Service Tv.kulkas,16.058,12.987,5.03,11.366,8.504,14.472,7.814,11.039,9.259,6.229,7.584,26.248,4.666,12.745,12.562,6.661,15.886,8.308,11.87,16.142,21.857,15.935,5.434,16.915,8.418,11.759,10.625,6.393,8.977,10.239,5.74,8.625,20.829,15.347,17.392,2.942,2.618,13.906,0.0,23.058,14.066,10.499,7.397,6.18,15.658,4.591,8.394,14.702,2.763,3.104,21.998,2.947,24.392,14.114,5.854,8.668,15.495,4.549,15.707,11.442,9.63,28.947,13.015,14.246,14.306,7.703,9.572,10.37,7.77,3.174,16.664,23.188,10.189,5.801,14.327,7.619,14.155,23.619,16.942,15.634,7.08,8.432,10.986,8.367,20.888,23.884,8.611,5.488,6.848,6.55,10.998,5.86,12.379,7.872,8.03,10.587,6.997,8.623,6.36,15.811,17.4,16.86,15.046,8.06,9.212,16.684,8.804,4.889,12.107,8.726,15.927,23.396,15.971,7.814,14.351,8.42,15.441,9.781,5.91,6.998,15.874,17.91,18.56,10.88,10.381,18.204,22.754,17.985,16.283,3.824,2.618,6.601,14.174,14.079,1.669,17.387,11.448,6.146,6.482,15.981,6.736,16.058,12.611,9.263,24.289,15.383,10.777,14.286,7.572,9.678,22.261,13.896,5.927
Glory Computer (Pusat Servis Laptop & PC),10.193,10.567,18.698,16.904,28.928,16.964,17.658,14.327,14.916,26.4,16.654,15.773,20.47,11.212,23.765,27.085,27.089,27.381,11.55,27.346,2.842,27.138,19.203,14.981,15.822,13.343,13.913,18.009,15.182,18.674,19.056,15.421,20.968,15.78,14.504,21.499,22.234,11.196,22.922,0.0,25.27,19.898,26.469,21.714,26.861,20.395,15.616,25.906,23.771,21.391,12.356,21.66,1.333,25.318,19.474,17.738,9.244,20.353,16.038,16.981,31.674,5.888,24.218,25.449,25.51,23.237,14.84,29.442,17.614,22.756,15.232,2.304,32.234,26.809,25.53,16.689,25.359,0.56,17.081,26.837,18.697,23.966,20.305,28.791,6.929,0.826,15.833,20.559,20.313,22.084,16.537,18.82,23.583,25.94,27.102,16.125,19.329,17.693,18.146,21.078,22.138,7.024,26.249,27.132,15.812,27.887,17.874,25.897,13.691,17.795,15.236,8.123,21.238,17.658,31.709,17.49,26.644,28.853,23.852,21.892,10.718,22.648,21.126,16.419,22.755,21.093,1.377,11.172,27.487,22.111,22.234,25.673,25.377,25.283,23.88,11.454,14.737,19.106,28.527,26.809,24.991,10.193,23.814,24.604,1.23,26.587,16.315,16.842,26.645,16.969,9.968,10.757,27.971
Golden Service (Service Laptop & HP),17.295,14.424,12.596,15.054,15.46,11.277,12.511,14.768,13.333,16.126,12.281,16.332,10.434,14.182,1.517,13.617,2.196,13.843,13.306,6.226,23.293,4.102,10.189,13.72,12.298,13.195,14.354,11.09,12.914,14.159,12.876,12.568,22.266,12.152,18.823,11.451,10.928,15.342,13.524,24.495,0.0,10.263,13.001,8.832,2.669,10.359,13.091,1.411,12.216,11.747,20.949,11.612,25.828,0.048,10.104,13.366,16.932,10.318,12.511,14.662,16.16,23.038,1.105,0.954,3.415,8.636,13.301,15.974,12.467,10.371,13.469,24.624,21.163,13.901,0.637,12.316,0.089,25.055,18.379,1.944,11.777,9.365,8.176,15.323,22.325,25.321,13.308,9.327,13.88,8.278,14.218,12.64,2.463,11.753,12.552,13.806,9.959,13.32,11.562,5.895,5.535,18.296,1.356,13.664,11.545,2.338,13.502,12.99,13.544,13.423,12.732,24.832,6.055,12.511,5.676,13.117,1.751,8.494,10.384,8.727,17.311,6.045,6.695,14.809,6.476,6.339,24.191,19.421,3.606,10.762,10.928,12.205,0.484,4.164,13.514,18.824,15.178,12.926,17.457,8.407,11.523,17.295,1.893,7.51,25.725,2.394,13.996,11.091,13.053,12.011,18.561,15.332,16.901
GRIYA SERVICE ELECTRONIK,9.727,9.149,6.162,7.486,15.372,4.934,6.077,7.2,5.765,13.787,5.848,10.191,7.452,8.906,9.611,13.529,12.935,13.025,8.031,13.191,18.018,12.984,6.186,7.377,4.73,7.92,6.786,4.656,5.346,9.524,6.442,5.0,16.991,5.809,7.854,8.481,9.216,10.067,10.309,19.22,11.115,0.0,12.913,7.16,12.707,7.377,6.465,11.751,11.157,8.778,11.855,8.643,20.553,11.163,5.918,6.932,11.657,7.336,6.168,7.094,17.188,25.108,10.064,11.295,11.355,7.818,5.733,15.885,4.27,9.199,7.126,19.349,17.747,14.195,11.376,5.882,11.204,19.78,13.104,12.683,3.581,8.547,2.057,15.235,17.049,20.046,6.682,7.003,7.447,5.912,6.65,6.207,9.428,10.935,11.734,6.239,5.773,6.886,5.128,12.86,14.449,13.021,12.095,13.576,3.977,13.733,7.068,13.284,8.268,6.989,6.389,19.557,13.02,6.078,16.29,6.684,12.49,13.485,10.296,5.567,12.036,14.959,15.609,7.241,8.601,15.253,18.915,14.146,13.332,9.497,9.216,12.117,11.223,11.129,11.266,13.549,7.61,6.492,14.041,13.03,11.434,9.727,9.66,8.278,20.45,12.432,6.429,4.748,12.235,4.444,12.118,10.057,13.485
Hartono Elektrik 2,17.78,16.461,10.069,14.839,5.496,17.29,11.287,14.512,12.733,6.162,11.058,27.461,7.809,16.218,13.775,3.653,10.621,3.692,15.343,17.355,25.33,17.148,8.441,19.733,11.892,15.232,14.098,9.866,12.451,12.936,9.525,12.099,24.303,18.166,20.21,7.092,6.364,17.379,7.813,26.532,13.68,13.317,0.0,7.393,16.871,7.733,11.867,14.316,5.367,9.134,23.72,7.097,27.865,13.728,7.493,12.142,18.969,7.692,18.525,14.916,6.196,32.42,14.228,13.859,15.52,6.947,13.045,3.624,11.244,5.808,19.482,26.661,8.874,5.99,13.94,11.092,13.769,27.092,20.416,11.092,10.554,6.9,12.049,5.359,24.361,27.358,12.084,6.701,12.657,7.764,14.472,11.417,13.593,3.467,3.414,14.06,8.211,12.096,9.065,17.024,18.614,20.333,11.174,1.315,12.03,17.897,12.278,6.141,15.581,12.199,18.745,26.869,17.184,11.288,9.735,11.893,10.413,5.165,3.159,8.212,19.348,19.123,19.773,14.354,11.594,19.418,26.227,21.458,17.497,9.854,6.364,1.985,13.787,15.293,7.803,20.861,14.922,11.703,8.955,17.194,2.331,17.78,13.824,10.476,27.762,16.596,14.25,17.104,2.956,12.496,23.983,17.369,8.015
Hartono Servis,11.954,11.166,4.774,9.544,9.775,11.762,5.992,9.217,7.438,10.441,5.763,20.964,2.514,10.924,7.278,7.933,10.602,7.626,10.048,10.858,20.035,10.651,3.146,14.206,6.957,9.937,8.803,4.571,7.156,7.641,4.23,6.804,19.008,12.638,14.683,3.53,4.159,12.084,6.442,21.237,8.782,7.789,7.316,0.0,10.374,2.438,6.572,9.418,6.263,3.826,17.893,3.692,22.57,8.83,2.198,6.847,13.674,2.397,12.997,9.621,10.475,27.125,7.731,8.962,9.022,1.159,7.75,10.289,5.949,3.603,13.954,21.366,14.358,8.217,9.043,5.797,8.871,21.797,15.121,10.35,5.259,3.148,5.702,9.639,19.067,22.063,6.789,1.407,7.362,1.266,9.177,6.122,7.096,5.536,6.336,8.765,2.916,6.801,3.77,10.527,12.116,15.038,9.762,7.979,6.204,11.4,6.983,7.305,10.286,6.904,13.218,21.574,10.687,5.993,10.891,6.599,10.157,8.086,4.699,1.715,14.053,12.626,13.276,9.059,5.097,12.92,20.933,16.163,10.999,2.841,4.159,6.52,8.89,8.796,6.432,15.566,9.627,6.407,10.651,10.697,5.838,11.954,7.327,3.979,22.467,10.099,8.955,11.576,6.836,6.67,18.157,12.074,10.096
